target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086AF938,0x086AFCE0,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
jp_rev0,front,shiny,0x086AF938,0x087D6E54,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
jp_rev0,back,normal,0x086AFD08,0x086AFCE0,graphics/pokemon/005/005_back_normal_341de2f64625.png
jp_rev0,back,shiny,0x086AFD08,0x087D6E54,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
es_rev1,front,normal,0x08D32BE0,0x08D32F88,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
es_rev1,front,shiny,0x08D32BE0,0x08E5A14C,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
es_rev1,back,normal,0x08D32FB0,0x08D32F88,graphics/pokemon/005/005_back_normal_341de2f64625.png
es_rev1,back,shiny,0x08D32FB0,0x08E5A14C,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
es_rev0,front,normal,0x08D32BE0,0x08D32F88,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
es_rev0,front,shiny,0x08D32BE0,0x08E5A14C,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
es_rev0,back,normal,0x08D32FB0,0x08D32F88,graphics/pokemon/005/005_back_normal_341de2f64625.png
es_rev0,back,shiny,0x08D32FB0,0x08E5A14C,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
de_debug,front,normal,0x08D32BCC,0x08D32F74,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
de_debug,front,shiny,0x08D32BCC,0x08E5A138,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
de_debug,back,normal,0x08D32F9C,0x08D32F74,graphics/pokemon/005/005_back_normal_341de2f64625.png
de_debug,back,shiny,0x08D32F9C,0x08E5A138,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
de_rev1,front,normal,0x08D32BCC,0x08D32F74,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
de_rev1,front,shiny,0x08D32BCC,0x08E5A138,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
de_rev1,back,normal,0x08D32F9C,0x08D32F74,graphics/pokemon/005/005_back_normal_341de2f64625.png
de_rev1,back,shiny,0x08D32F9C,0x08E5A138,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
de_rev0,front,normal,0x08D32BCC,0x08D32F74,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
de_rev0,front,shiny,0x08D32BCC,0x08E5A138,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
de_rev0,back,normal,0x08D32F9C,0x08D32F74,graphics/pokemon/005/005_back_normal_341de2f64625.png
de_rev0,back,shiny,0x08D32F9C,0x08E5A138,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
en_eu_rev1,front,normal,0x08D32B34,0x08D32EDC,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
en_eu_rev1,front,shiny,0x08D32B34,0x08E5A0A0,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
en_eu_rev1,back,normal,0x08D32F04,0x08D32EDC,graphics/pokemon/005/005_back_normal_341de2f64625.png
en_eu_rev1,back,shiny,0x08D32F04,0x08E5A0A0,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
en_us_rev0,front,normal,0x08D32B34,0x08D32EDC,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
en_us_rev0,front,shiny,0x08D32B34,0x08E5A0A0,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
en_us_rev0,back,normal,0x08D32F04,0x08D32EDC,graphics/pokemon/005/005_back_normal_341de2f64625.png
en_us_rev0,back,shiny,0x08D32F04,0x08E5A0A0,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
en_useu_rev2,front,normal,0x08D32B34,0x08D32EDC,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
en_useu_rev2,front,shiny,0x08D32B34,0x08E5A0A0,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
en_useu_rev2,back,normal,0x08D32F04,0x08D32EDC,graphics/pokemon/005/005_back_normal_341de2f64625.png
en_useu_rev2,back,shiny,0x08D32F04,0x08E5A0A0,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
fr_rev1,front,normal,0x08D32BE8,0x08D32F90,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
fr_rev1,front,shiny,0x08D32BE8,0x08E5A154,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
fr_rev1,back,normal,0x08D32FB8,0x08D32F90,graphics/pokemon/005/005_back_normal_341de2f64625.png
fr_rev1,back,shiny,0x08D32FB8,0x08E5A154,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
fr_rev0,front,normal,0x08D32BE8,0x08D32F90,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
fr_rev0,front,shiny,0x08D32BE8,0x08E5A154,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
fr_rev0,back,normal,0x08D32FB8,0x08D32F90,graphics/pokemon/005/005_back_normal_341de2f64625.png
fr_rev0,back,shiny,0x08D32FB8,0x08E5A154,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
it_rev1,front,normal,0x08D32C18,0x08D32FC0,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
it_rev1,front,shiny,0x08D32C18,0x08E5A184,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
it_rev1,back,normal,0x08D32FE8,0x08D32FC0,graphics/pokemon/005/005_back_normal_341de2f64625.png
it_rev1,back,shiny,0x08D32FE8,0x08E5A184,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
it_rev0,front,normal,0x08D32C18,0x08D32FC0,graphics/pokemon/005/005_front_normal_9066cdd9401b.png
it_rev0,front,shiny,0x08D32C18,0x08E5A184,graphics/pokemon/005/005_front_shiny_3ba0e7f91733.png
it_rev0,back,normal,0x08D32FE8,0x08D32FC0,graphics/pokemon/005/005_back_normal_341de2f64625.png
it_rev0,back,shiny,0x08D32FE8,0x08E5A184,graphics/pokemon/005/005_back_shiny_c1d55181ce93.png
